disks,raid,strip-size,read-policy,write-policy,io-policy,swap-size,disk-size,memory-size,num-cpus,scheduler,block-size,ext4-stride,ext4-stripe-width,ext4-journal-mode,ext4-barrier,ext4-atime,ext4-diratime,ext4-64-bit,ext4-dir-index,ext4-dir-nlink,ext4-extent,ext4-extra-isize,ext4-ext-attr,ext4-filetype,ext4-flex-bg,ext4-flex-bg-num-groups,ext4-huge-file,ext4-sparse-super2,ext4-mmp,ext4-resize-inode,ext4-sparse-super,ext4-uninit-bg,ext4-inode-size,ext4-inode-ratio,ext4-num-backup-sb,ext4-packed-meta-blocks,ext4-acl,ext4-inode-allocator,ext4-user-xattr,ext4-journal-commit-interval,ext4-journal-checksum-async-commit,ext4-delalloc,ext4-max-batch-time,ext4-min-batch-time,ext4-journal-ioprio,ext4-auto-da-alloc,ext4-discard,ext4-dioread-lock,ext4-i-version,kernel-vm-dirty-ratio,kernel-vm-dirty-background-ratio,kernel-vm-swappiness,kernel-read-ahead,kernel-fs-read-ahead,kernel-dev-ncq,ext4-bh,kernel-vm-vfs-cache-pressure,kernel-vm-dirty-expire-centisecs,kernel-vm-dirty-writeback-centisecs,kernel-vm-extfrag-threshold,kernel-vm-hugepages-treas-as-movable,kernel-vm-laptop-mode,kernel-vm-overcommit-memory,kernel-vm-overcommit-ratio,kernel-vm-percpu-pagelist-fraction,kernel-vm-zone-reclaim-mode
8,raid5,128,ahead,write-back,cached,2,512,1024,1,noop,4096,2,1024,journal_data,no_barrier,noatime,nodiratime,no_64bit,dir_index,dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,flex_bg,2,huge_file,sparse_super2,mmp,no_resize_inode,sparse_super,uninit_bg,512,1048576,1,no_packed_meta_blocks,noacl,orlov,nouser_xattr,20,no_journal_checksum,nodelalloc,3800,0,5,auto_da_alloc,discard,dioread_nolock,i_version,15,15,90,65536,128,8,bh,1000,30000,0,600,1,3,0,128,8,7
7,raid0,256,normal,write-thru,direct,128,8,16384,3,cfq,2048,16,32,journal_data_writeback,barrier,strictatime,diratime,64bit,no_dir_index,no_dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,no_flex_bg,32,no_huge_file,no_sparse_super2,no_mmp,resize_inode,sparse_super,no_uninit_bg,256,262144,0,no_packed_meta_blocks,acl,oldalloc,user_xattr,10,journal_checksum,delalloc,240000,60000,2,noauto_da_alloc,nodiscard,dioread_lock,noi_version,10,1,30,0,512,1,nobh,333,100000,100000,400,0,33,1,64,64,6
6,raid1,1024,normal,write-thru,cached,0,1024,2048,4,deadline,1024,32,512,journal_data_ordered,barrier,relatime,nodiratime,no_64bit,dir_index,no_dir_nlink,no_extent,extra_isize,no_ext_attr,no_filetype,flex_bg,256,no_huge_file,sparse_super2,mmp,no_resize_inode,no_sparse_super,no_uninit_bg,1024,16777216,2,packed_meta_blocks,acl,unspecified,nouser_xattr,80,journal_async_commit,nodelalloc,0,1900,6,noauto_da_alloc,nodiscard,dioread_lock,noi_version,1,2,50,131072,131072,4,nobh,10,1000,125,700,1,333,2,32,128,1
5,raid6,64,ahead,write-back,direct,.5,128,3072,5,deadline,2048,8,16,journal_data_ordered,no_barrier,relatime,diratime,64bit,no_dir_index,dir_nlink,extent,no_extra_isize,ext_attr,filetype,flex_bg,16,huge_file,no_sparse_super2,no_mmp,no_resize_inode,no_sparse_super,uninit_bg,2048,4194304,2,packed_meta_blocks,noacl,unspecified,user_xattr,3,journal_async_commit,delalloc,1000,30000,0,auto_da_alloc,discard,dioread_lock,i_version,4,20,99,128,8192,24,bh,3,10000,30,800,0,1000,2,32,32,3
4,raid00,512,normal,write-thru,direct,8,16,4096,6,noop,4096,128,128,journal_data,barrier,noatime,diratime,64bit,no_dir_index,no_dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,flex_bg,64,no_huge_file,no_sparse_super2,no_mmp,resize_inode,sparse_super,no_uninit_bg,128,16384,1,packed_meta_blocks,acl,orlov,nouser_xattr,40,no_journal_checksum,nodelalloc,120000,15000,3,auto_da_alloc,nodiscard,dioread_nolock,noi_version,30,5,0,512,65536,12,bh,100,3000,2000,1000,0,10,0,128,16,0
3,raid6,512,ahead,write-back,cached,4,64,8192,8,cfq,4096,64,64,journal_data_writeback,no_barrier,strictatime,nodiratime,no_64bit,dir_index,dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,no_flex_bg,4,huge_file,sparse_super2,mmp,no_resize_inode,no_sparse_super,uninit_bg,4096,65536,0,no_packed_meta_blocks,noacl,oldalloc,user_xattr,1,journal_checksum,delalloc,15000,120000,7,noauto_da_alloc,discard,dioread_nolock,i_version,3,30,1,2048,8,20,nobh,33,100,500,200,1,1,1,64,0,5
2,raid00,64,normal,write-thru,cached,32,256,3072,7,cfq,2048,1,256,journal_data_writeback,no_barrier,noatime,nodiratime,no_64bit,dir_index,no_dir_nlink,extent,extra_isize,no_ext_attr,filetype,no_flex_bg,512,huge_file,sparse_super2,mmp,resize_inode,sparse_super,no_uninit_bg,2048,4194304,1,no_packed_meta_blocks,acl,orlov,nouser_xattr,5,journal_checksum,nodelalloc,1900,1000,4,noauto_da_alloc,nodiscard,dioread_lock,i_version,7,4,95,8,32768,32,nobh,1,300,1000,300,1,100,0,128,32,2
1,raid0,256,ahead,write-back,cached,64,32,16384,2,noop,1024,4,8,journal_data,barrier,strictatime,nodiratime,no_64bit,dir_index,dir_nlink,no_extent,no_extra_isize,no_ext_attr,filetype,flex_bg,8,no_huge_file,no_sparse_super2,mmp,no_resize_inode,no_sparse_super,uninit_bg,128,16384,0,packed_meta_blocks,noacl,unspecified,nouser_xattr,2,no_journal_checksum,delalloc,30000,7500,1,auto_da_alloc,discard,dioread_lock,noi_version,2,7,3,8192,0,2,bh,1,300,30000,900,0,0,2,64,64,4
4,raid10,1024,ahead,write-back,cached,16,16,4096,6,cfq,1024,256,512,journal_data_ordered,no_barrier,relatime,nodiratime,no_64bit,dir_index,dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,no_flex_bg,128,huge_file,sparse_super2,mmp,resize_inode,sparse_super,uninit_bg,256,262144,2,no_packed_meta_blocks,noacl,oldalloc,user_xattr,40,journal_async_commit,delalloc,60000,3800,3,noauto_da_alloc,discard,dioread_lock,i_version,20,10,10,32768,2048,16,nobh,100,3000,250,0,1,10,1,32,16,0
8,raid50,128,normal,write-thru,direct,.125,2048,8192,8,deadline,1024,1024,1024,journal_data_ordered,barrier,noatime,diratime,64bit,no_dir_index,no_dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,flex_bg,128,no_huge_file,no_sparse_super2,no_mmp,resize_inode,sparse_super,no_uninit_bg,512,65536,1,packed_meta_blocks,acl,unspecified,nouser_xattr,1,journal_async_commit,nodelalloc,7500,240000,7,auto_da_alloc,nodiscard,dioread_lock,noi_version,5,3,80,24,24,28,bh,33,100,10000,-1,0,1,2,128,0,5
